SKU Code,Diamond Size(Round),Diamond Count(Round),Diamond Size(Baguette),Diamond Count(Baguette),Diamond Size(Marquise),Diamond Count(Marquise),Diamond Size(Pear),Diamond Count(Pear),Diamond Size(Heart),Diamond Count(Heart),Length,Width,Diamond Wt,Volume,Casting wt.,Reduction,18KT wt.(Gm)
,1.3,10.0,,,,,,,,,,,,,,,
,1.2,2.0,,,,,,,,,,,,,,,
,1.1,2.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17079,1.7,2.0,,,,,,,,,14.92,9.56,0.2,155.02,2.433814,0.4867628,1.9470512
,1.1,12.0,,,,,,,,,,,,,,,
,1.05,2.0,,,,,,,,,,,,,,,
,1.0,16.0,,,,,,,,,,,,,,,
,0.9,6.0,,,,,,,,,,,,,,,
,0.8,8.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17080,0.9,36.0,,,,,,,,,18.02,2.7,0.1,358.15,5.622954999999999,1.124591,4.498364
,,,,,,,,,,,,,,,,,
ER-17081,1.7,4.0,,,,,,,,,38.39,2.72,0.38,184.51,2.8968069999999995,0.5793613999999999,2.3174455999999997
,1.6,6.0,,,,,,,,,,,,,,,
,1.5,4.0,,,,,,,,,,,,,,,
,1.4,6.0,,,,,,,,,,,,,,,
,1.2,8.0,,,,,,,,,,,,,,,
,1.1,4.0,,,,,,,,,,,,,,,
,1.0,4.0,,,,,,,,,,,,,,,
,0.9,4.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17082,1.4,2.0,,,,,,,,,62.43,11.95,1.2,618.44,9.709508,1.9419016,7.7676064
,1.3,6.0,,,,,,,,,,,,,,,
,1.2,6.0,,,,,,,,,,,,,,,
,1.15,164.0,,,,,,,,,,,,,,,
,1.1,2.0,,,,,,,,,,,,,,,
,1.05,34.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17083,1.1,120.0,,,,,,,,,30.24,7.38,0.59,300.5,4.717849999999999,0.9435699999999999,3.7742799999999996
,,,,,,,,,,,,,,,,,
ER-17084,1.15,68.0,,,,,,,,,14.83,11.64,0.39,289.52,4.545463999999999,0.9090927999999998,3.6363711999999992
,,,,,,,,,,,,,,,,,
ER-17085,1.25,84.0,,,,,,,,,10.6,10.6,0.62,423.17,6.643769,1.3287538,5.3150151999999995
,,,,,,,,,,,,,,,,,
ER-17086,2.4,6.0,,,,,,,,,8.87,8.95,0.49,208.5,3.2734499999999995,0.65469,2.6187599999999995
,1.1,36.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17087,1.6,2.0,,,,,,,,,13.03,14.74,0.64,394.35,6.191295,1.2382590000000002,4.953036
,1.5,12.0,,,,,,,,,,,,,,,
,1.4,16.0,,,,,,,,,,,,,,,
,1.3,20.0,,,,,,,,,,,,,,,
,1.2,14.0,,,,,,,,,,,,,,,
,1.1,6.0,,,,,,,,,,,,,,,
,1.0,2.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17088,1.9,8.0,3 * 1.75,10.0,,,,,,,10.0,6.81,0.83,163.13,2.5611409999999997,0.5122281999999999,2.0489127999999996
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17089,2.0,4.0,,,,,,,,,9.09,8.4,0.65,131.74,2.068318,0.4136636,1.6546544
,,,3 * 1.5,6.0,,,,,,,,,,,,,
,,,,,,,,3.2 * 2.2,4.0,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17090,1.0,64.0,,,,,,,,,13.45,13.45,0.24,456.76,7.171131999999999,1.4342264,5.736905599999999
,,,,,,,,,,,,,,,,,
ER-17091,,,3.5 * 1.85,10.0,,,,,,,10.52,10.52,0.75,186.2,2.9233399999999996,0.584668,2.338672
,,,,,,,,,,,,,,,,,
ER-17092,1.9,14.0,,,,,,,,,30.46,11.42,0.68,325.45,5.109564999999999,1.0219129999999998,4.087651999999999
,1.8,2.0,,,,,,,,,,,,,,,
,1.4,2.0,,,,,,,,,,,,,,,
,1.3,6.0,,,,,,,,,,,,,,,
,1.2,6.0,,,,,,,,,,,,,,,
,1.1,26.0,,,,,,,,,,,,,,,
,0.9,14.0,,,,,,,,,,,,,,,
