SKU Code,Diamond Size(Round),Diamond Count(Round),Diamond Size(Baguette),Diamond Count(Baguette),Diamond Size(Marquise),Diamond Count(Marquise),Diamond Size(Pear),Diamond Count(Pear),Diamond Size(Heart),Diamond Count(Heart),Length,Width,Diamond Wt,Volume,Casting wt.,Reduction,18KT wt.(Gm)
ER-17001,1.4,48.0,,,,,,,,,16.62,1.85,0.49,236.99,3.7207429999999997,0.7441485999999999,2.9765943999999998
,,,,,,,,,,,,,,,,,
ER-17002,2.1,28.0,,,,,,,,,15.28,2.3,0.97,259.9,4.080429999999999,0.8160859999999999,3.264343999999999
,,,,,,,,,,,,,,,,,
ER-17003,0.9,48.0,,,,,,,,,18.12,5.3,0.4,367.1,5.76347,1.152694,4.6107759999999995
,1.6,20.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17004,2.0,26.0,,,,,,,,,14.05,2.28,0.78,221.15,3.4720549999999997,0.694411,2.7776439999999996
,,,,,,,,,,,,,,,,,
ER-17005,1.55,30.0,,,,,,,,,17.64,2.01,0.4,362.12,5.685283999999999,1.1370567999999999,4.5482271999999995
,,,,,,,,,,,,,,,,,
ER-17006,2.1,28.0,,,,,,,,,16.85,2.18,0.97,251.0,3.9406999999999996,0.78814,3.15256
,,,,,,,,,,,,,,,,,
ER-17007,1.3,16.0,,,,,,,,,10.94,4.33,0.31,246.85,3.875545,0.775109,3.1004359999999997
,1.2,28.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17008,2.3,10.0,,,,,,,,,15.0,2.21,0.46,245.73,3.8579609999999995,0.7715922,3.0863688
,,,,,,,,,,,,,,,,,
ER-17009,1.0,56.0,,,,,,,,,17.21,3.06,0.21,345.72,5.427804,1.0855608,4.3422432
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17010,,,,,4 * 2,8,,,,,14.81,4.82,0.42,279.01,4.380457,0.8760914,3.5043656
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17011,1.7,30.0,,,,,,,,,20.45,3.15,0.55,358.75,5.632375,1.126475,4.5059
,,,,,,,,,,,,,,,,,
ER-17012,1.6,54.0,,,,,,,,,12.92,6.06,0.83,529.22,8.308754,1.6617508,6.6470032
,,,,,,,,,,,,,,,,,
ER-17013,1.2,48.0,2.25 * 1.25,24,,,,,,,14.15,5.26,0.88,445.69,6.997332999999999,1.3994666,5.597866399999999
,,,,,,,,,,,,,,,,,
ER-17014,1.1,38.0,,,,,,,,,13.89,5.11,0.32,402.34,6.316737999999999,1.2633476,5.0533904
,1.2,20.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17015,1.7,20.0,,,,,,,,,14.3,4.87,1.2,509.87,8.004959,1.6009918,6.403967199999999
,1.6,54.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17016,2.35,6.0,,,,,,,,,17.82,3.37,0.29,196.31,3.082067,0.6164134,2.4656536
,,,,,,,,,,,,,,,,,
ER-17017,1.5,66.0,,,,,,,,,29.51,2.0,0.83,451.5,7.08855,1.41771,5.67084
,,,,,,,,,,,,,,,,,
ER-17018,1.0,50.0,,,,,,,,,21.81,4.04,0.19,462.65,7.263604999999999,1.452721,5.810884
,,,,,,,,,,,,,,,,,
ER-17019,1.3,28.0,3 * 1.6,2,,,,,,,17.54,2.25,0.33,214.26,3.3638819999999994,0.6727763999999999,2.6911055999999993
,,,,,,,,,,,,,,,,,
ER-17020,0.9,28.0,,,,,,,,,16.94,7.07,0.38,632.29,9.926953,1.9853906,7.9415624
,1.2,28.0,,,,,,,,,,,,,,,
,1.3,14.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17021,1.1,16.0,,,,,,,,,17.23,3.58,0.4,333.54,5.236578,1.0473156,4.1892624
,1.2,12.0,,,,,,,,,,,,,,,
,1.3,20.0,,,,,,,,,,,,,,,
