Style no,18kt Gold wt (gms),Diamond wt (Ct),Round (mm),Count,Baguette (mm),Count.1,Marquise (mm),Count.2,Oval (mm),Count.3,Pear (mm),Count.4
,,,2.0,4.0,,,,,,,,
DOC - SR 0666,1.22,0.2,2.0,1.0,,,,,5x3,1.0,,
DOC - SR 0667,0.93,0.04,1.3,6.0,,,,,,,,
DOC - SR 0668,1.17,0.16,1.2,1.0,,,4x2,3.0,,,,
DOC - SR 0669,1.07,0.04,2.2,1.0,,,,,,,,
DOC - SR 0670,1.04,0.08,2.2,2.0,,,,,,,,
DOC - SR 0671,1.07,0.06,1.3,3.0,,,,,,,,
,,,2.2,1.0,,,,,,,,
DOC - SR 0672,1.47,0.39,1.5,3.0,,,,,,,6x4,1.0
DOC - SR 0673,1.47,0.63,,,,,,,,,6x4,1.0
,,,,,,,,,,,3x2,5.0
DOC - SR 0674,1.16,0.29,1.1,14.0,,,,,,,5x3,1.0
,,,2.5,1.0,,,,,,,,
DOC - SR 0675,1.3,0.37,1.1,3.0,,,,,,,6x4,1.0
DOC - SR 0676,1.31,0.32,3.8,1.0,,,,,,,,
,,,2.0,1.0,,,,,,,,
,,,2.8,1.0,,,,,,,,
DOC - SR 0677,1.21,0.05,1.1,10.0,,,,,,,,
DOC - SR 0678,1.43,0.17,1.4,6.0,4x2,1.0,,,,,,
DOC - SR 0679,1.7,0.43,1.1,16.0,,,,,,,6x4,1.0
DOC - SR 0680,1.45,0.08,1.1,10.0,2.25x1.5,1.0,,,,,,
DOC - SR 0681,1.42,0.18,1.4,6.0,,,,,,,,
,,,3.2,1.0,,,,,,,,
DOC - SR 0682,,0.41,1.2,8.0,,,,,,,6x4,1.0
DOC - SR 0683,1.37,0.02,1.6,1.0,,,,,,,,
DOC - SR 0684,1.06,0.06,1.3,2.0,,,,,3x2,1.0,,
DOC - SR 0685,1.15,0.03,1.1,6.0,,,,,,,,
DOC - SR 0686,1.3,0.03,2.0,1.0,,,,,,,,
DOC - SR 0687,1.41,0.44,2.2,1.0,,,,,6x4,1.0,,
,,,1.7,2.0,,,,,,,,
DOC - SR 0688,1.44,0.38,,,3x1.5,1.0,,,,,5x3,2.0
DOC - SR 0689,1.44,0.04,2.2,1.0,,,,,,,,
DOC - SR 0690,1.12,0.09,1.1,2.0,,,,,,,,
,,,1.7,2.0,,,,,,,,
,,,1.3,2.0,,,,,,,,
,,,2.0,1.0,,,,,,,,
DOC - SR 0691,1.71,0.27,2.0,9.0,,,,,,,,
DOC - SR 0692,1.28,0.06,1.1,12.0,,,,,,,,
DOC - SR 0693,1.15,0.07,1.3,9.0,,,,,,,,
DOC - SR 0694,1.47,0.12,1.2,18.0,,,,,,,,
DOC - SR 0695,1.34,0.05,1.5,4.0,,,,,,,,
DOC - SR 0696,1.26,0.07,1.0,20.0,,,,,,,,
DOC - SR 0697,1.14,0.21,1.0,20.0,3x1.5,3.0,,,,,,
DOC - SR 0698,1.24,0.1,3.0,1.0,,,,,,,,
DOC - SR 0699,1.26,0.09,1.7,5.0,,,,,,,,
DOC - SR 0700,1.22,0.25,1.1,14.0,,,6x3,1.0,,,,
