SKU Code,Shape,Diamond Size(Round) mm,Diamond Count(Round),Diamond Size(Princes) mm,Diamond Count(Princes),Diamond Size(Cushion) mm,Diamond Count(Cushion),Diamond Size(Oval) mm,Diamond Count(Oval),Diamond Size(Emerald) mm,Diamond Count(Emerald),Diamond Size(Radiant) mm,Diamond Count(Radiant),Diamond size (Asscher) mm,Diamond count (Asscher),Diamond Size(Heart) mm,Diamond Count(Heart),Diamond Size(Marquise) mm,Diamond Count(Marquise),Diamond Size(Pear) mm,Diamond Count(Pear),Length,Width,Diamond Wt,Volume,Casting wt.,Reduction,18KT wt.(Gm)
S R-19007(1.50),Radiant,,,,,,,,,,,7.5 * 5.8,1.0,,,,,,,,,21.1,7.5,1.65,252.58,3.965506,0.7931012000000001,3.1724048
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19007(2.00),Radiant,,,,,,,,,,,8 * 6,1.0,,,,,,,,,21.1,8.15,1.98,274.4,4.3080799999999995,0.8616159999999999,3.4464639999999997
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19008(0.50),Heart,,,,,,,,,,,,,,,5.2,1.0,,,,,21.1,6.12,0.48,230.23,3.6146109999999996,0.7229222,2.8916888
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19008(1.00),Heart,,,,,,,,,,,,,,,6.5,1.0,,,,,21.1,7.67,0.97,243.27,3.819339,0.7638678,3.0554712
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19008(1.50),Heart,,,,,,,,,,,,,,,7.5,1.0,,,,,21.1,8.76,1.39,255.52,4.011664,0.8023328,3.2093312
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19008(2.00),Heart,,,,,,,,,,,,,,,8.0,1.0,,,,,21.1,9.33,1.69,265.69,4.171333,0.8342666,3.3370664
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19009(0.50),Marquise,,,,,,,,,,,,,,,,,8 * 4,1.0,,,21.1,9.17,0.42,244.37,3.8366089999999997,0.7673217999999999,3.0692871999999998
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19009(1.00),Marquise,,,,,,,,,,,,,,,,,10 * 5,1.0,,,21.1,11.38,0.7,263.63,4.138991,0.8277982,3.3111927999999997
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19009(1.50),Marquise,,,,,,,,,,,,,,,,,12 * 6,1.0,,,21.1,13.52,1.41,292.56,4.593191999999999,0.9186383999999999,3.6745535999999994
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19009(2.00),Marquise,,,,,,,,,,,,,,,,,13 * 6.5,1.0,,,21.1,14.65,1.79,316.44,4.968108,0.9936216,3.9744864
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19010(0.50),Pear,,,,,,,,,,,,,,,,,,,6.5 * 4.5,1.0,21.1,7.13,0.43,237.92,3.7353439999999996,0.7470688,2.9882751999999995
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19010(1.00),Pear,,,,,,,,,,,,,,,,,,,8.5 * 5.5,1.0,21.1,9.23,0.95,252.83,3.9694309999999997,0.7938862,3.1755448
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19010(1.50),Pear,,,,,,,,,,,,,,,,,,,9.5 * 6.5,1.0,21.1,10.62,1.37,272.51,4.278407,0.8556813999999999,3.4227255999999997
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19010(2.00),Pear,,,,,,,,,,,,,,,,,,,10 * 7,1.0,21.1,10.97,1.81,283.05,4.443885,0.888777,3.5551079999999997
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19011(0.50),Round,4.5,1.0,,,,,,,,,,,,,,,,,,,21.15,4.6,0.48,196.93,3.091801,0.6183602,2.4734407999999997
,,1.25,20.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19011(1.00),Round,5.8,1.0,,,,,,,,,,,,,,,,,,,21.15,5.8,0.92,209.21,3.2845969999999998,0.6569194,2.6276775999999997
