SKU Code,Diamond Size(mm),Diamond Count,Diamond Size (Cushion),Diamond Count.1,Diamond Size (Princess),Diamond Count.2,Diamond Size (Baguette),Diamond Count.3,Diamond Size (Marquise),Diamond Count.4,Diamond Size (Radiant),Diamond Count.5,Diamond Size (Heart),Diamond Count.6,Diamond Size (Pear),Diamond Count.7,Diamond Size (Emerald),Diamond Count.8,Diamond Size (Oval),Diamond Count.9,Length(mm),Width(mm),Diamond Wt.(Cts),Volume,Casting wt.,0.2,18KT wt.(Gm)
,1.2,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,1.3,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
,1.5,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
,1.8,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER-16023,5.0,2.0,,,,,,,,,,,,,,,,,,,11.4,11.4,0.94,288.05,4.522385,0.904477,3.617908
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER-16024,5.0,2.0,,,,,,,,,,,,,,,,,,,20.34,7.01,0.94,272.34,4.275738,0.8551476,3.4205903999999996
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER-16025,2.1,12.0,,,,,,,,,,,,,,,,,,,22.62,9.93,1.0,352.04,5.527028,1.1054055999999999,4.4216223999999995
,4.3,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER-16026,1.2,4.0,,,,,,,,,,,,,,,,,,,16.56,7.21,0.87,167.7,2.6328899999999997,0.526578,2.106312
,1.4,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
,1.9,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,4.6,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER-16027,4.0,2.0,,,,,,,,,,,,,,,,,,,17.69,13.33,0.48,348.86,5.4771019999999995,1.0954203999999998,4.381681599999999
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER-16028,1.85,2.0,,,,,,,,,,,,,,,,,,,12.51,6.57,0.91,153.4,2.4083799999999997,0.481676,1.9267039999999998
,4.9,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER-16029,4.6,2.0,,,,,,,,,,,,,,,,,,,16.9,7.28,0.73,280.38,4.401966,0.8803932,3.5215728
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER-16030,2.1,4.0,,,,,,,,,,,,,,,,,,,19.46,5.77,0.47,199.85,3.1376449999999996,0.627529,2.5101159999999996
,2.6,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER-16031,1.2,32.0,,,,,,,,,,,,,,,,,,,14.23,8.02,0.93,168.49,2.645293,0.5290586,2.1162344
,2.2,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,4.4,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER-16032,1.6,12.0,,,,,,,,,,,,,,,,,,,14.7,7.39,0.82,168.16,2.640112,0.5280224,2.1120896
,4.4,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER-16033,1.1,10.0,,,,,,,,,,,,,,,,,,,6.9,6.9,0.88,122.79,1.927803,0.38556060000000003,1.5422424
,4.8,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER-16034,1.3,22.0,,,,,,,,,,,,,,,,,,,21.28,6.97,0.91,307.55,4.828535,0.965707,3.8628279999999995
,1.5,20.0,,,,,,,,,,,,,,,,,,,,,,,,,
,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
