Style no,18kt Gold wt (gms),Diamond wt (Ct),Round Dimond (mm),Count,Cushion (mm),Count.1,Pear (mm),Count.2,Emerald (mm),Count.3,Princess (mm),Count.4,Oval (mm),Count.5,Trillion (mm),Count.6,Baguette (mm),Count.7,Marquise (mm),Count.8
DOC -  0142,3.77,1.2,6.8,1.0,,,,,,,,,,,,,,,,
DOC -  0143,4.07,1.2,6.8,1.0,,,,,,,,,,,,,,,,
DOC -  0144,3.92,1.15,6.75,1.0,,,,,,,,,,,,,,,,
DOC -  0145,6.43,1.2,6.8,1.0,,,,,,,,,,,,,,,,
DOC -  0146,1.8,0.19,1.4,20.0,,,,,,,,,,,,,,,,
DOC -  0147,13.61,2.78,1.9,4.0,,,,,,,3.5x3.5,7.0,,,,,,,,
,,,1.8,8.0,,,,,,,,,,,,,,,,
,,,1.7,8.0,,,,,,,,,,,,,,,,
,,,1.6,8.0,,,,,,,,,,,,,,,,
,,,1.5,10.0,,,,,,,,,,,,,,,,
DOC -  0148,4.13,1.51,2.2,12.0,,,,,,,,,,,,,,,,
,,,6.5,1.0,,,,,,,,,,,,,,,,
DOC -  0149,5.52,2.46,1.4,18.0,,,,,,,,,,,,,,,,
,,,1.5,20.0,,,,,,,,,,,,,,,,
,,,8.1,1.0,,,,,,,,,,,,,,,,
DOC -  0150,6.63,4.82,,,,,,,8.2x9.1,1.0,,,,,,,,,3.7x1.8,22.0
DOC -  0151,5.96,3.09,1.4,18.0,,,,,,,,,10.5x7.5,1.0,,,,,,
,,,1.6,22.0,,,,,,,,,,,,,,,,
,,,1.5,2.0,,,,,,,,,,,,,,,,
,,,1.3,2.0,,,,,,,,,,,,,,,,
DOC -  0152,6.01,3.94,2.2,16.0,,,,,8.2x7.3,1.0,,,,,,,,,,
DOC -  0153,19.29,14.03,2.7,4.0,,,,,13.2x13.2,1.0,,,,,,,,,,
,,,3.3,4.0,,,,,,,,,,,,,,,,
,,,3.8,4.0,,,,,,,,,,,,,,,,
,,,2.0,28.0,,,,,,,,,,,,,,,,
DOC -  0154,2.95,2.61,1.9,20.0,6.6x6.6,1.0,,,,,,,,,,,,,,
DOC -  0155,4.25,1.68,1.4,28.0,,,,,,,6.1,1.0,,,,,,,,
DOC -  0156,6.84,2.66,3.6,2.0,,,,,,,,,,,,,,,,
,,,1.1,7.0,,,,,,,,,,,,,,,,
,,,1.6,6.0,,,,,,,,,,,,,,,,
,,,1.7,6.0,,,,,,,,,,,,,,,,
,,,8.0,1.0,,,,,,,,,,,,,,,,
,,,1.3,20.0,,,,,,,,,,,,,,,,
DOC -  0157,5.19,2.04,,,,,,,,,,,8.5x6.4,1.0,,,2.7x3.9,2.0,,
DOC -  0158,5.91,4.99,1.9,22.0,,,,,,,,,,,,,,,,
,,,10.7,1.0,,,,,,,,,,,,,,,,
DOC -  0159,4.98,5.02,10.7,1.0,,,,,,,,,,,,,,,,
,,,1.8,22.0,,,,,,,,,,,,,,,,
DOC -  0160,5.95,3.68,8.9,1.0,,,,,,,,,,,,,2.5x4.1,2.0,,
,,,,,,,,,,,,,,,,,2.5x3.1,2.0,,
,,,,,,,,,,,,,,,,,2.3x2.6,2.0,,
,,,,,,,,,,,,,,,,,2.4x2.1,2.0,,
,,,,,,,,,,,,,,,,,2.3x1.9,4.0,,
,,,,,,,,,,,,,,,,,2.4x1.9,2.0,,
DOC -  0161,13.22,1.48,2.9,4.0,,,,,,,,,,,,,,,,
,,,2.5,2.0,,,,,,,,,,,,,,,,
,,,1.1,1.0,,,,,,,,,,,,,,,,
,,,1.4,102.0,,,,,,,,,,,,,,,,
DOC -  0162,3.33,3.04,1.0,8.0,7.7x6.5,1.0,,,,,,,,,,,,,,
,,,1.3,22.0,,,,,,,,,,,,,,,,
,,,1.62,24.0,,,,,,,,,,,,,,,,
,,,1.7,8.0,,,,,,,,,,,,,,,,
DOC -  0163,5.86,0.13,1.7,7.0,,,,,,,,,,,,,,,,
DOC -  0164,6.13,0.0,,,,,,,,,,,,,,,,,,
DOC -  0165,3.93,0.18,1.9,7.0,,,,,,,,,,,,,,,,
DOC -  0166,4.77,1.08,1.1,2.0,,,,,,,,,,,,,,,,
,,,1.2,2.0,,,,,,,,,,,,,,,,
,,,1.3,2.0,,,,,,,,,,,,,,,,
,,,1.4,2.0,,,,,,,,,,,,,,,,
,,,1.5,2.0,,,,,,,,,,,,,,,,
,,,1.6,2.0,,,,,,,,,,,,,,,,
,,,1.8,2.0,,,,,,,,,,,,,,,,
,,,6.3,1.0,,,,,,,,,,,,,,,,
DOC -  0167,6.83,2.11,7.9,1.0,,,,,,,,,,,,,,,,
,,,1.8,12.0,,,,,,,,,,,,,,,,
DOC -  0168,4.2,0.83,5.3,1.0,,,,,,,,,,,,,,,,
,,,1.0,2.0,,,,,,,,,,,,,,,,
,,,1.2,2.0,,,,,,,,,,,,,,,,
,,,1.4,2.0,,,,,,,,,,,,,,,,
,,,1.6,2.0,,,,,,,,,,,,,,,,
,,,1.8,2.0,,,,,,,,,,,,,,,,
,,,2.0,6.0,,,,,,,,,,,,,,,,
DOC -  0169,3.9,1.05,5.4,1.0,,,,,,,,,,,,,,,,
