SKU Code,Diamond Size(mm),Diamond Count,Diamond (Baguette),Diamond Count.1,Diamond (Pear),Diamond Count.2,Diamond (Princess),Diamond Count.3,Diamond (Cushion),Diamond Count.4,Diamond (Oval),Diamond Count.5,Diamond (Emerald),Diamond Count.6,Diamond (Heart),Diamond Count.7,Diamond (Radiant),Diamond Count.8,Diamond (Marquise),Diamond Count.9,Length(mm),Width(mm),Diamond Wt,Volume,Casting Gold Wt(18kt),Est.Final Gold Wt(18kt)
,1.2,2.0,,,,,,,,,,,,,,,,,,,,,,,,
,1.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15023,6.5,1.0,,,,,,,,,,,,,,,,,,,13.9,,1.03,251.93,3.955301,3.1642408
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15024,6.5,1.0,,,,,,,,,,,,,,,,,,,24.62,15.54,1.03,227.7,3.57489,2.859912
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15025,5.8,1.0,,,,,,,,,,,,,,,,,,,25.08,11.52,0.94,241.44,3.790608,3.0324864
,2.1,6.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15026,1.5,2.0,,,,,,,,,,,,,,,,,,,13.55,8.0,1.01,105.94,1.663258,1.3306064
,6.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,
,2.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,
,1.3,2.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15027,5.2,1.0,,,,,,,,,,,,,,,,,,,17.54,13.4,0.53,180.91,2.840287,2.2722296
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15028,6.4,1.0,,,,,,,,,,,,,,,,,,,15.35,9.19,1.03,122.57,1.924349,1.5394792
,2.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15029,5.2,1.0,,,,,,,,,,,,,,,,,,,19.68,8.87,0.53,184.38,2.894766,2.3158128
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15030,3.0,1.0,,,,,,,,,,,,,,,,,,,19.32,5.34,0.24,101.67,1.596219,1.2769752
,2.1,2.0,,,,,,,,,,,,,,,,,,,,,,,,
,2.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15031,1.3,16.0,,,,,,,,,,,,,,,,,,,16.46,8.85,0.76,119.13,1.870341,1.4962728
,5.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,
,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15032,2.1,6.0,,,,,,,,,,,,,,,,,,,19.62,9.72,0.94,149.95,2.354215,1.883372
,5.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15033,1.3,5.0,,,,,,,,,,,,,,,,,,,12.05,8.86,1.02,95.15,1.493855,1.195084
,6.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15034,1.2,12.0,,,,,,,,,,,,,,,,,,,16.66,8.88,0.9,203.72,3.198404,2.5587232
,2.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,
,5.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15035 Size 1,4.1,1.0,,,,,,,,,,,,,,,,,,,8.3,4.6,0.26,36.01,0.565357,0.4522856
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15035 Size 2,5.1,1.0,,,,,,,,,,,,,,,,,,,9.55,5.19,0.51,51.4,0.80698,0.645584
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15035 Size 3,6.5,1.0,,,,,,,,,,,,,,,,,,,11.27,6.55,1.03,67.59,1.061163,0.8489304
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15035 Size 4,7.4,1.0,,,,,,,,,,,,,,,,,,,12.61,7.58,1.52,96.39,1.513323,1.2106584
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15036 Size 1,,,,,,,3.5*3.5,1.0,,,,,,,,,,,,,9.78,6.11,0.27,34.84,0.546988,0.4375904
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15036 Size 2,,,,,,,4.4*4.4,1.0,,,,,,,,,,,,,11.61,7.64,0.55,50.57,0.793949,0.6351592
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15036 Size 3,,,,,,,5.5*5.5,1.0,,,,,,,,,,,,,13.55,9.46,1.04,75.96,1.192572,0.9540576
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15036 Size 4,,,,,,,6.4*6.4,1.0,,,,,,,,,,,,,15.23,10.89,1.67,111.33,1.747881,1.3983048
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15037 Size 1,,,,,,,,,3.6*3.6,1.0,,,,,,,,,,,8.07,4.6,0.24,33.93,0.532701,0.4261608
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15037 Size 2,,,,,,,,,4.9*4.9,1.0,,,,,,,,,,,9.46,5.07,0.62,52.33,0.821581,0.6572648
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15037 Size 3,,,,,,,,,5.5*5.5,1.0,,,,,,,,,,,10.66,5.7,0.86,70.87,1.112659,0.8901272
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15037 Size 4,,,,,,,,,6.5*6.5,1.0,,,,,,,,,,,11.92,6.73,1.42,98.16,1.541112,1.2328896
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15038 Size 1,,,,,,,,,,,5*3.5,1.0,,,,,,,,,9.32,4.6,0.2,34.77,0.545889,0.4367112
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15038 Size 2,,,,,,,,,,,6*4,1.0,,,,,,,,,10.49,4.87,0.36,46.51,0.730207,0.5841656
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15038 Size 3,,,,,,,,,,,8*5.5,1.0,,,,,,,,,12.73,5.65,1.0,77.11,1.210627,0.9685016
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15038 Size 4,,,,,,,,,,,9*6,1.0,,,,,,,,,14.1,6.19,1.43,98.79,1.551003,1.2408024
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15039 Size 1,,,,,,,,,,,,,4.5*3,1.0,,,,,,,9.01,4.6,0.24,35.03,0.549971,0.4399768
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15039 Size 2,,,,,,,,,,,,,5.5*4,1.0,,,,,,,10.2,4.87,0.49,50.05,0.785785,0.628628
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15039 Size 3,,,,,,,,,,,,,6.5*5,1.0,,,,,,,11.66,5.3,0.86,79.83,1.253331,1.0026648
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15039 Size 4,,,,,,,,,,,,,7.5*5.5,1.0,,,,,,,12.95,5.82,1.33,105.11,1.650227,1.3201816
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15040 Size 1,,,,,5.5*3.5,1,,,,,,,,,,,,,,,9.75,4.6,0.25,36.09,0.566613,0.4532904
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15040 Size 2,,,,,7*4.5,1,,,,,,,,,,,,,,,11.67,4.85,0.58,56.71,0.890347,0.7122776
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15040 Size 3,,,,,8.5*5.5,1,,,,,,,,,,,,,,,13.76,5.66,0.95,76.91,1.207487,0.9659896
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15040 Size 4,,,,,10*6.5,1,,,,,,,,,,,,,,,15.41,6.71,1.68,109.97,1.726529,1.3812232
