Style no,18kt Gold wt (gms),Diamond wt (Ct),Unnamed: 3,Round (mm),Count,Oval (mm),Count.1,Marquise (mm),Count.2,Pear (mm),Count.3,Baguette (mm),Count.4,Unnamed: 14,US Expansion - Batch 13
,,,,2.5,1.0,,,,,,,,,,
DOC - P 1252,2.24,0.14,,1.4,2.0,,,,,,,,,,
,,,,1.5,2.0,,,,,,,,,,
,,,,1.2,8.0,,,,,,,,,,
,,,,1.1,8.0,,,,,,,,,,
DOC - P 1253,1.16,0.17,,2.5,1.0,,,,,,,,,,
,,,,2.2,3.0,,,,,,,,,,
DOC - P 1254,4.14,0.2,,1.6,8.0,,,,,,,,,,
,,,,1.7,4.0,,,,,,,,,,
DOC - P 1255,0.94,0.24,,4.0,1.0,,,,,,,,,,
DOC - P 1256,2.19,0.1,,3.0,1.0,,,,,,,,,,
DOC - P 1257,0.91,0.05,,1.4,2.0,,,,,,,,,,
,,,,1.5,1.0,,,,,,,,,,
,,,,1.3,2.0,,,,,,,,,,
DOC - P 1258,1.62,0.04,,2.3,1.0,,,,,,,,,,
DOC - P 1259,2.34,0.25,,1.0,61.0,,,,,,,,,,
,,,,1.5,1.0,,,,,,,,,,
,,,,1.2,1.0,,,,,,,,,,
,,,,1.1,1.0,,,,,,,,,,
DOC - P 1260,3.87,0.11,,1.2,17.0,,,,,,,,,,
DOC - P 1261,5.47,0.4,,1.2,61.0,,,,,,,,,,
DOC - P 1262,1.58,5.05,,1.0,3.0,,,,,15x10,1.0,,,,
,,,,1.3,3.0,,,,,,,,,,
,,,,1.2,1.0,,,,,,,,,,
,,,,1.1,1.0,,,,,,,,,,
,,,,0.9,1.0,,,,,,,,,,
DOC - P 1263,0.72,0.66,,1.3,2.0,,,,,7x5,1.0,,,,
DOC - P 1264,2.01,0.13,,1.2,8.0,,,,,,,,,,
,,,,1.1,4.0,,,,,,,,,,
,,,,1.2,4.0,,,,,,,,,,
,,,,1.3,2.0,,,,,,,,,,
,,,,1.4,2.0,,,,,,,,,,
DOC - P 1265,3.1,0.36,,1.0,1.0,,,,,,,,,,
,,,,1.4,6.0,,,,,,,,,,
,,,,1.2,5.0,,,,,,,,,,
,,,,1.3,30.0,,,,,,,,,,
,,,,1.1,4.0,,,,,,,,,,
DOC - P 1266,1.56,0.07,,1.0,2.0,,,,,,,,,,
,,,,1.2,2.0,,,,,,,,,,
,,,,1.3,2.0,,,,,,,,,,
,,,,1.4,3.0,,,,,,,,,,
DOC - P 1267,1.56,0.09,,1.3,7.0,,,,,,,,,,
,,,,1.0,1.0,,,,,,,,,,
,,,,1.2,3.0,,,,,,,,,,
,,,,1.1,1.0,,,,,,,,,,
DOC - P 1268,1.72,0.19,,2.0,1.0,,,,,,,,,,
,,,,1.2,25.0,,,,,,,,,,
DOC - P 1269,3.28,0.26,,2.5,1.0,,,,,,,,,,
,,,,1.3,24.0,,,,,,,,,,
DOC - P 1270,2.21,0.18,,1.3,25.0,,,,,,,,,,
DOC - P 1271,3.03,0.31,,1.2,57.0,,,,,,,,,,
DOC - P 1272,1.99,0.07,,1.0,2.0,,,,,,,,,,
,,,,1.3,1.0,,,,,,,,,,
,,,,1.5,3.0,,,,,,,,,,
,,,,1.4,1.0,,,,,,,,,,
,,,,1.2,1.0,,,,,,,,,,
DOC - P 1273,2.83,0.06,,2.5,1.0,,,,,,,,,,
DOC - P 1274,1.76,0.02,,1.7,1.0,,,,,,,,,,
DOC - P 1275,2.35,0.14,,1.0,6.0,,,,,,,,,,
,,,,1.2,20.0,,,,,,,,,,
DOC - P 1276,1.47,0.16,,1.3,8.0,,,,,,,,,,
,,,,1.1,9.0,,,,,,,,,,
,,,,1.0,3.0,,,,,,,,,,
,,,,1.2,5.0,,,,,,,,,,
,,,,1.4,1.0,,,,,,,,,,
DOC - P 1277,2.64,2.0,,1.8,1.0,,,,,10x7,1.0,,,,
,,,,1.2,2.0,,,,,,,,,,
,,,,1.1,21.0,,,,,,,,,,
,,,,1.1,11.0,,,,,,,,,,
DOC - P 1278,2.96,0.21,,1.3,25.0,,,,,,,,,,
DOC - P 1279,4.14,0.2,,1.3,24.0,,,,,,,,,,
DOC - P 1280,2.31,0.1,,1.4,10.0,,,,,,,,,,
DOC - P 1281,3.31,0.53,,1.0,50.0,,,,,,,,,,
,,,,1.5,24.0,,,,,,,,,,
,,,,1.4,4.0,,,,,,,,,,
DOC - P 1282,3.09,0.29,,1.5,2.0,,,,,,,,,,
,,,,1.3,35.0,,,,,,,,,,
,,,,1.2,1.0,,,,,,,,,,
,,,,1.1,1.0,,,,,,,,,,
DOC - P 1283,2.08,0.43,,1.3,36.0,,,,,,,3x1.5,3.0,,
DOC - P 1284,2.16,0.19,,1.1,11.0,,,,,,,,,,
,,,,1.0,2.0,,,,,,,,,,
,,,,1.2,10.0,,,,,,,,,,
,,,,1.3,8.0,,,,,,,,,,
DOC - P 1285,3.11,0.16,,1.1,2.0,,,,,,,,,,
,,,,1.2,1.0,,,,,,,,,,
,,,,1.3,4.0,,,,,,,,,,
,,,,1.0,2.0,,,,,,,,,,
,,,,3.0,1.0,,,,,,,,,,
DOC - P 1286,1.54,0.14,,2.0,3.0,,,,,,,,,,
,,,,1.3,7.0,,,,,,,,,,
DOC - P 1287,1.37,0.39,,2.0,12.0,,,,,,,,,,
,,,,0.9,12.0,,,,,,,,,,
DOC - P 1288,1.44,0.45,,0.9,9.0,,,,,,,,,,
,,,,2.0,9.0,,,,,,,,,,
,,,,1.2,27.0,,,,,,,,,,
DOC - P 1289,2.09,0.17,,1.5,5.0,,,,,,,,,,
,,,,1.4,5.0,,,,,,,,,,
,,,,1.2,5.0,,,,,,,,,,
,,,,1.0,5.0,,,,,,,,,,
DOC - P 1290,1.01,0.08,,2.0,1.0,,,,,,,,,,
,,,,1.3,2.0,,,,,,,,,,
,,,,1.7,2.0,,,,,,,,,,
DOC - P 1291,1.88,0.24,,1.2,42.0,,,,,,,,,,
DOC - P 1292,3.46,0.21,,1.1,36.0,,,,,,,,,,
,,,,1.2,6.0,,,,,,,,,,
DOC - P 1293,2.86,0.38,,0.9,88.0,,,,,,,,,,
,,,,1.7,8.0,,,,,,,,,,
DOC - P 1294,1.82,0.1,,3.0,1.0,,,,,,,,,,
DOC - P 1295,1.58,0.23,,1.2,32.0,,,,,,,,,,
,,,,2.1,1.0,,,,,,,,,,
DOC - P 1296,1.35,0.25,,1.1,20.0,,,,,,,2.75x1.25,5.0,,
DOC - P 1297,3.96,0.05,,1.5,3.0,,,,,,,,,,
,,,,1.1,2.0,,,,,,,,,,
DOC - P 1298,3.44,0.26,,1.2,40.0,,,,,,,,,,
DOC - P 1299,3.25,0.09,,1.0,3.0,,,,,,,,,,
,,,,1.1,4.0,,,,,,,,,,
,,,,1.3,3.0,,,,,,,,,,
,,,,1.2,5.0,,,,,,,,,,
DOC - P 1300,2.02,0.12,,3.2,1.0,,,,,,,,,,
