Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (g),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Meta: _custom_product_text_field
variation,17007-Ro-20,GlowVault Huggie Earrings - Rose Gold 14kt,1,0,visible,,Metal: Rose Gold 14kt | Gold Weight: 3.100436g | Diamond Weight: 0.31 carats,,,taxable,,1,10,2,0,0,3.1,,,,0,,,,,,,https://rareregalia.com/wp-content/uploads/2025/07/17007-R3.jpg,,,PARENT-13-17007,,,,,,0,Metal Type,Rose Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,Style Number: nan | Gold Weight: 3.100436g | Gold Purity: 18kt | Diamond Weight: 0.31 ct | Diamond Count: 16 | Diamond Shapes: nan | Diamond Quality: nan
variable,PARENT-14-17012,Starlight Rows Huggie Earrings,1,0,visible,Category: Earrings | 0.83 ct diamonds | 6.6470032g gold,<br><br><strong>Diamond Details:</strong><br>• Total Weight: 0.83 carats<br>• Count: 54 diamonds<br>• Shapes: nan<br>• Quality: nan<br><br><br><strong>Gold Specifications:</strong><br>• Weight: 6.6470032 grams<br>• Purity: 18kt<br>,,,taxable,,1,,,0,0,6.65,,,,1,,,,Earrings,"nan Quality, Earrings, Rose Gold, nan Diamond",,https://rareregalia.com/wp-content/uploads/2025/07/17012-R1.jpg,,,,,,,,,0,Metal Type,Rose Gold,1,1,Rose Gold,Metal Karat,14kt,1,1,14kt,,,0,1,,Style Number: nan | Gold Weight: 6.6470032g | Gold Purity: 18kt | Diamond Weight: 0.83 ct | Diamond Count: 54 | Diamond Shapes: nan | Diamond Quality: nan
variation,17012-Ro-21,Starlight Rows Huggie Earrings - Rose Gold 14kt,1,0,visible,,Metal: Rose Gold 14kt | Gold Weight: 6.6470032g | Diamond Weight: 0.83 carats,,,taxable,,1,10,2,0,0,6.65,,,,0,,,,,,,https://rareregalia.com/wp-content/uploads/2025/07/17012-R1.jpg,,,PARENT-14-17012,,,,,,0,Metal Type,Rose Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,Style Number: nan | Gold Weight: 6.6470032g | Gold Purity: 18kt | Diamond Weight: 0.83 ct | Diamond Count: 54 | Diamond Shapes: nan | Diamond Quality: nan
variable,PARENT-15-17017,Luna Arc Hoops,1,0,visible,Category: Earrings | 0.83 ct diamonds | 5.67084g gold,<br><br><strong>Diamond Details:</strong><br>• Total Weight: 0.83 carats<br>• Count: 66 diamonds<br>• Shapes: nan<br>• Quality: nan<br><br><br><strong>Gold Specifications:</strong><br>• Weight: 5.67084 grams<br>• Purity: 18kt<br>,,,taxable,,1,,,0,0,5.67,,,,1,,,,Earrings,"nan Quality, Earrings, Rose Gold, nan Diamond",,https://rareregalia.com/wp-content/uploads/2025/07/17017-R3.jpg,,,,,,,,,0,Metal Type,Rose Gold,1,1,Rose Gold,Metal Karat,14kt,1,1,14kt,,,0,1,,Style Number: nan | Gold Weight: 5.67084g | Gold Purity: 18kt | Diamond Weight: 0.83 ct | Diamond Count: 66 | Diamond Shapes: nan | Diamond Quality: nan
variation,17017-Ro-22,Luna Arc Hoops - Rose Gold 14kt,1,0,visible,,Metal: Rose Gold 14kt | Gold Weight: 5.67084g | Diamond Weight: 0.83 carats,,,taxable,,1,10,2,0,0,5.67,,,,0,,,,,,,https://rareregalia.com/wp-content/uploads/2025/07/17017-R3.jpg,,,PARENT-15-17017,,,,,,0,Metal Type,Rose Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,Style Number: nan | Gold Weight: 5.67084g | Gold Purity: 18kt | Diamond Weight: 0.83 ct | Diamond Count: 66 | Diamond Shapes: nan | Diamond Quality: nan
variable,PARENT-16-17021,Aurora Luxe Hoops,1,0,visible,Category: Earrings | 0.4 ct diamonds | 4.1892624g gold,<br><br><strong>Diamond Details:</strong><br>• Total Weight: 0.4 carats<br>• Count: 16 diamonds<br>• Shapes: nan<br>• Quality: nan<br><br><br><strong>Gold Specifications:</strong><br>• Weight: 4.1892624 grams<br>• Purity: 18kt<br>,,,taxable,,1,,,0,0,4.19,,,,1,,,,Earrings,"nan Quality, Earrings, Rose Gold, nan Diamond",,https://rareregalia.com/wp-content/uploads/2025/07/17021-R3.jpg,,,,,,,,,0,Metal Type,Rose Gold,1,1,Rose Gold,Metal Karat,14kt,1,1,14kt,,,0,1,,Style Number: nan | Gold Weight: 4.1892624g | Gold Purity: 18kt | Diamond Weight: 0.4 ct | Diamond Count: 16 | Diamond Shapes: nan | Diamond Quality: nan
variation,17021-Ro-23,Aurora Luxe Hoops - Rose Gold 14kt,1,0,visible,,Metal: Rose Gold 14kt | Gold Weight: 4.1892624g | Diamond Weight: 0.4 carats,,,taxable,,1,10,2,0,0,4.19,,,,0,,,,,,,https://rareregalia.com/wp-content/uploads/2025/07/17021-R3.jpg,,,PARENT-16-17021,,,,,,0,Metal Type,Rose Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,Style Number: nan | Gold Weight: 4.1892624g | Gold Purity: 18kt | Diamond Weight: 0.4 ct | Diamond Count: 16 | Diamond Shapes: nan | Diamond Quality: nan
variable,PARENT-17-17022,Celestia Spark Hoops,1,0,visible,Category: Earrings | 0.61 ct diamonds | 4.908448g gold,"<br><br><strong>Diamond Details:</strong><br>• Total Weight: 0.61 carats<br>• Count: 74 diamonds<br>• Shapes: nan<br>• Quality: nan<br><br><br><strong>Gold Specifications:</strong><br>• Weight: 4.908448 grams<br>• Purity: 18kt<br><br><br><strong>Available Options:</strong><br>• Metal Types: Rose Gold, Yellow Gold<br>",,,taxable,,1,,,0,0,4.91,,,,1,,,49820.0 - 57170.0,Earrings,"nan Quality, Earrings, Rose Gold, nan Diamond",,"https://rareregalia.com/wp-content/uploads/2025/07/17022-R1.jpg, https://rareregalia.com/wp-content/uploads/2025/07/17022-R2.jpg, https://rareregalia.com/wp-content/uploads/2025/07/17022-R3.jpg, https://rareregalia.com/wp-content/uploads/2025/07/17022-R4.jpg",,,,,,,,,0,Metal Type,Rose Gold | Yellow Gold,1,1,Rose Gold,Metal Karat,14kt,1,1,14kt,,,0,1,,Style Number: nan | Gold Weight: 4.908448g | Gold Purity: 18kt | Diamond Weight: 0.61 ct | Diamond Count: 74 | Diamond Shapes: nan | Diamond Quality: nan
variation,17022-Ro-24,Celestia Spark Hoops - Rose Gold 14kt,1,0,visible,,Metal: Rose Gold 14kt | Gold Weight: 4.908448g | Diamond Weight: 0.61 carats,,,taxable,,1,10,2,0,0,4.91,,,,0,,,49820.0,,,,"https://rareregalia.com/wp-content/uploads/2025/07/17022-R1.jpg, https://rareregalia.com/wp-content/uploads/2025/07/17022-R2.jpg, https://rareregalia.com/wp-content/uploads/2025/07/17022-R3.jpg, https://rareregalia.com/wp-content/uploads/2025/07/17022-R4.jpg",,,PARENT-17-17022,,,,,,0,Metal Type,Rose Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,Style Number: nan | Gold Weight: 4.908448g | Gold Purity: 18kt | Diamond Weight: 0.61 ct | Diamond Count: 74 | Diamond Shapes: nan | Diamond Quality: nan
variation,17022-Ro-25,Celestia Spark Hoops - Rose Gold 14kt,1,0,visible,,Metal: Rose Gold 14kt | Gold Weight: 4.908448g | Diamond Weight: 0.61 carats,,,taxable,,1,10,2,0,0,4.91,,,,0,,,57170.0,,,,"https://rareregalia.com/wp-content/uploads/2025/07/17022-R1.jpg, https://rareregalia.com/wp-content/uploads/2025/07/17022-R2.jpg, https://rareregalia.com/wp-content/uploads/2025/07/17022-R3.jpg, https://rareregalia.com/wp-content/uploads/2025/07/17022-R4.jpg",,,PARENT-17-17022,,,,,,0,Metal Type,Rose Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,Style Number: nan | Gold Weight: 4.908448g | Gold Purity: 18kt | Diamond Weight: 0.61 ct | Diamond Count: 74 | Diamond Shapes: nan | Diamond Quality: nan
