Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (g),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Meta: _custom_product_text_field
variation,15050-G-200,Lustre Drop - Gold 18kt,1,0,visible,,Metal: Gold 18kt | Gold Weight: 1.2305032g | Diamond Weight: 0.42 carats,,,taxable,,1,10,2,0,0,1.23,,,,0,,,,,,,"https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15050-Y1.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15050-Y2.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15050-Y3.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15050-Y4.jpg",,,PARENT-38-15050,,,,,,0,Metal Type,Gold,0,1,,Metal Karat,18kt,0,1,,,,0,1,,Style Number: nan | Gold Weight: 1.2305032g | Gold Purity: 18kt | Diamond Weight: 0.42 ct | Diamond Shapes: nan | Diamond Quality: nan
variation,15050-G-201,Lustre Drop - Gold 18kt,1,0,visible,,Metal: Gold 18kt | Gold Weight: 1.2305032g | Diamond Weight: 0.42 carats,,,taxable,,1,10,2,0,0,1.23,,,,0,,,,,,,"https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15050-Y1.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15050-Y2.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15050-Y3.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15050-Y4.jpg",,,PARENT-38-15050,,,,,,0,Metal Type,Gold,0,1,,Metal Karat,18kt,0,1,,,,0,1,,Style Number: nan | Gold Weight: 1.2305032g | Gold Purity: 18kt | Diamond Weight: 0.42 ct | Diamond Shapes: nan | Diamond Quality: nan
variation,15050-G-202,Lustre Drop - Gold 18kt,1,0,visible,,Metal: Gold 18kt | Gold Weight: 1.2305032g | Diamond Weight: 0.42 carats,,,taxable,,1,10,2,0,0,1.23,,,,0,,,,,,,"https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15050-Y1.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15050-Y2.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15050-Y3.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15050-Y4.jpg",,,PARENT-38-15050,,,,,,0,Metal Type,Gold,0,1,,Metal Karat,18kt,0,1,,,,0,1,,Style Number: nan | Gold Weight: 1.2305032g | Gold Purity: 18kt | Diamond Weight: 0.42 ct | Diamond Shapes: nan | Diamond Quality: nan
variation,15050-Ye-203,Lustre Drop - Yellow Gold 14kt,1,0,visible,,Metal: Yellow Gold 14kt | Gold Weight: 1.2305032g | Diamond Weight: 0.42 carats,,,taxable,,1,10,2,0,0,1.23,,,,0,,,37652.0,,,,"https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15050-Y1.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15050-Y2.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15050-Y3.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15050-Y4.jpg",,,PARENT-38-15050,,,,,,0,Metal Type,Yellow Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,Style Number: nan | Gold Weight: 1.2305032g | Gold Purity: 18kt | Diamond Weight: 0.42 ct | Diamond Shapes: nan | Diamond Quality: nan
variation,15050-Ye-204,Lustre Drop - Yellow Gold 14kt,1,0,visible,,Metal: Yellow Gold 14kt | Gold Weight: 1.2305032g | Diamond Weight: 0.42 carats,,,taxable,,1,10,2,0,0,1.23,,,,0,,,41312.0,,,,"https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15050-Y1.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15050-Y2.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15050-Y3.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15050-Y4.jpg",,,PARENT-38-15050,,,,,,0,Metal Type,Yellow Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,Style Number: nan | Gold Weight: 1.2305032g | Gold Purity: 18kt | Diamond Weight: 0.42 ct | Diamond Shapes: nan | Diamond Quality: nan
variation,15050-Ye-205,Lustre Drop - Yellow Gold 14kt,1,0,visible,,Metal: Yellow Gold 14kt | Gold Weight: 1.2305032g | Diamond Weight: 0.42 carats,,,taxable,,1,10,2,0,0,1.23,,,,0,,,46219.0,,,,"https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15050-Y1.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15050-Y2.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15050-Y3.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15050-Y4.jpg",,,PARENT-38-15050,,,,,,0,Metal Type,Yellow Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,Style Number: nan | Gold Weight: 1.2305032g | Gold Purity: 18kt | Diamond Weight: 0.42 ct | Diamond Shapes: nan | Diamond Quality: nan
variation,15050-Ye-206,Lustre Drop - Yellow Gold 14kt,1,0,visible,,Metal: Yellow Gold 14kt | Gold Weight: 1.2305032g | Diamond Weight: 0.42 carats,,,taxable,,1,10,2,0,0,1.23,,,,0,,,50614.0,,,,"https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15050-Y1.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15050-Y2.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15050-Y3.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15050-Y4.jpg",,,PARENT-38-15050,,,,,,0,Metal Type,Yellow Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,Style Number: nan | Gold Weight: 1.2305032g | Gold Purity: 18kt | Diamond Weight: 0.42 ct | Diamond Shapes: nan | Diamond Quality: nan
variable,PARENT-39-15051,Celeste Amour,1,0,visible,Category: Uncategorized | 0.52 ct diamonds | 1.5324456g gold,"<br><br><strong>Diamond Details:</strong><br>• Total Weight: 0.52 carats<br>• Shapes: nan<br>• Quality: nan<br><br><br><strong>Gold Specifications:</strong><br>• Weight: 1.5324456 grams<br>• Purity: 18kt<br><br><br><strong>Available Options:</strong><br>• Metal Types: Rose Gold, White Gold, Yellow Gold<br>",,,taxable,,1,,,0,0,1.53,,,,1,,,20499.0 - 58636.0,Uncategorized,"nan Quality, Rose Gold, nan Diamond, Uncategorized",,"https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-R1.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-R2.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-R3.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-R4.jpg",,,,,,,,,0,Metal Type,Rose Gold | White Gold | Yellow Gold,1,1,Rose Gold,Metal Karat,14kt,1,1,14kt,,,0,1,,Style Number: nan | Gold Weight: 1.5324456g | Gold Purity: 18kt | Diamond Weight: 0.52 ct | Diamond Shapes: nan | Diamond Quality: nan
variation,15051-Ro-207,Celeste Amour - Rose Gold 14kt,1,0,visible,,Metal: Rose Gold 14kt | Gold Weight: 1.5324456g | Diamond Weight: 0.52 carats,,,taxable,,1,10,2,0,0,1.53,,,,0,,,20499.0,,,,"https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-R1.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-R2.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-R3.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-R4.jpg",,,PARENT-39-15051,,,,,,0,Metal Type,Rose Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,Style Number: nan | Gold Weight: 1.5324456g | Gold Purity: 18kt | Diamond Weight: 0.52 ct | Diamond Shapes: nan | Diamond Quality: nan
variation,15051-Ro-208,Celeste Amour - Rose Gold 14kt,1,0,visible,,Metal: Rose Gold 14kt | Gold Weight: 1.5324456g | Diamond Weight: 0.52 carats,,,taxable,,1,10,2,0,0,1.53,,,,0,,,22794.0,,,,"https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-R1.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-R2.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-R3.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-R4.jpg",,,PARENT-39-15051,,,,,,0,Metal Type,Rose Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,Style Number: nan | Gold Weight: 1.5324456g | Gold Purity: 18kt | Diamond Weight: 0.52 ct | Diamond Shapes: nan | Diamond Quality: nan
variation,15051-Ro-209,Celeste Amour - Rose Gold 14kt,1,0,visible,,Metal: Rose Gold 14kt | Gold Weight: 1.5324456g | Diamond Weight: 0.52 carats,,,taxable,,1,10,2,0,0,1.53,,,,0,,,31715.0,,,,"https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-R1.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-R2.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-R3.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-R4.jpg",,,PARENT-39-15051,,,,,,0,Metal Type,Rose Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,Style Number: nan | Gold Weight: 1.5324456g | Gold Purity: 18kt | Diamond Weight: 0.52 ct | Diamond Shapes: nan | Diamond Quality: nan
variation,15051-Ro-210,Celeste Amour - Rose Gold 14kt,1,0,visible,,Metal: Rose Gold 14kt | Gold Weight: 1.5324456g | Diamond Weight: 0.52 carats,,,taxable,,1,10,2,0,0,1.53,,,,0,,,34790.0,,,,"https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-R1.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-R2.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-R3.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-R4.jpg",,,PARENT-39-15051,,,,,,0,Metal Type,Rose Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,Style Number: nan | Gold Weight: 1.5324456g | Gold Purity: 18kt | Diamond Weight: 0.52 ct | Diamond Shapes: nan | Diamond Quality: nan
variation,15051-Ro-211,Celeste Amour - Rose Gold 14kt,1,0,visible,,Metal: Rose Gold 14kt | Gold Weight: 1.5324456g | Diamond Weight: 0.52 carats,,,taxable,,1,10,2,0,0,1.53,,,,0,,,43180.0,,,,"https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-R1.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-R2.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-R3.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-R4.jpg",,,PARENT-39-15051,,,,,,0,Metal Type,Rose Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,Style Number: nan | Gold Weight: 1.5324456g | Gold Purity: 18kt | Diamond Weight: 0.52 ct | Diamond Shapes: nan | Diamond Quality: nan
variation,15051-Ro-212,Celeste Amour - Rose Gold 14kt,1,0,visible,,Metal: Rose Gold 14kt | Gold Weight: 1.5324456g | Diamond Weight: 0.52 carats,,,taxable,,1,10,2,0,0,1.53,,,,0,,,47080.0,,,,"https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-R1.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-R2.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-R3.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-R4.jpg",,,PARENT-39-15051,,,,,,0,Metal Type,Rose Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,Style Number: nan | Gold Weight: 1.5324456g | Gold Purity: 18kt | Diamond Weight: 0.52 ct | Diamond Shapes: nan | Diamond Quality: nan
variation,15051-Ro-213,Celeste Amour - Rose Gold 14kt,1,0,visible,,Metal: Rose Gold 14kt | Gold Weight: 1.5324456g | Diamond Weight: 0.52 carats,,,taxable,,1,10,2,0,0,1.53,,,,0,,,53656.0,,,,"https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-R1.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-R2.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-R3.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-R4.jpg",,,PARENT-39-15051,,,,,,0,Metal Type,Rose Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,Style Number: nan | Gold Weight: 1.5324456g | Gold Purity: 18kt | Diamond Weight: 0.52 ct | Diamond Shapes: nan | Diamond Quality: nan
variation,15051-Ro-214,Celeste Amour - Rose Gold 14kt,1,0,visible,,Metal: Rose Gold 14kt | Gold Weight: 1.5324456g | Diamond Weight: 0.52 carats,,,taxable,,1,10,2,0,0,1.53,,,,0,,,58636.0,,,,"https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-R1.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-R2.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-R3.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-R4.jpg",,,PARENT-39-15051,,,,,,0,Metal Type,Rose Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,Style Number: nan | Gold Weight: 1.5324456g | Gold Purity: 18kt | Diamond Weight: 0.52 ct | Diamond Shapes: nan | Diamond Quality: nan
variation,15051-Wh-215,Celeste Amour - White Gold 14kt,1,0,visible,,Metal: White Gold 14kt | Gold Weight: 1.5324456g | Diamond Weight: 0.52 carats,,,taxable,,1,10,2,0,0,1.53,,,,0,,,20499.0,,,,"https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-W1.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-W2.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-W3.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-W4.jpg",,,PARENT-39-15051,,,,,,0,Metal Type,White Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,Style Number: nan | Gold Weight: 1.5324456g | Gold Purity: 18kt | Diamond Weight: 0.52 ct | Diamond Shapes: nan | Diamond Quality: nan
variation,15051-Wh-216,Celeste Amour - White Gold 14kt,1,0,visible,,Metal: White Gold 14kt | Gold Weight: 1.5324456g | Diamond Weight: 0.52 carats,,,taxable,,1,10,2,0,0,1.53,,,,0,,,22794.0,,,,"https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-W1.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-W2.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-W3.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-W4.jpg",,,PARENT-39-15051,,,,,,0,Metal Type,White Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,Style Number: nan | Gold Weight: 1.5324456g | Gold Purity: 18kt | Diamond Weight: 0.52 ct | Diamond Shapes: nan | Diamond Quality: nan
variation,15051-Wh-217,Celeste Amour - White Gold 14kt,1,0,visible,,Metal: White Gold 14kt | Gold Weight: 1.5324456g | Diamond Weight: 0.52 carats,,,taxable,,1,10,2,0,0,1.53,,,,0,,,31715.0,,,,"https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-W1.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-W2.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-W3.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-W4.jpg",,,PARENT-39-15051,,,,,,0,Metal Type,White Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,Style Number: nan | Gold Weight: 1.5324456g | Gold Purity: 18kt | Diamond Weight: 0.52 ct | Diamond Shapes: nan | Diamond Quality: nan
variation,15051-Wh-218,Celeste Amour - White Gold 14kt,1,0,visible,,Metal: White Gold 14kt | Gold Weight: 1.5324456g | Diamond Weight: 0.52 carats,,,taxable,,1,10,2,0,0,1.53,,,,0,,,34790.0,,,,"https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-W1.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-W2.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-W3.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-W4.jpg",,,PARENT-39-15051,,,,,,0,Metal Type,White Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,Style Number: nan | Gold Weight: 1.5324456g | Gold Purity: 18kt | Diamond Weight: 0.52 ct | Diamond Shapes: nan | Diamond Quality: nan
variation,15051-Wh-219,Celeste Amour - White Gold 14kt,1,0,visible,,Metal: White Gold 14kt | Gold Weight: 1.5324456g | Diamond Weight: 0.52 carats,,,taxable,,1,10,2,0,0,1.53,,,,0,,,43180.0,,,,"https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-W1.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-W2.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-W3.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-W4.jpg",,,PARENT-39-15051,,,,,,0,Metal Type,White Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,Style Number: nan | Gold Weight: 1.5324456g | Gold Purity: 18kt | Diamond Weight: 0.52 ct | Diamond Shapes: nan | Diamond Quality: nan
variation,15051-Wh-220,Celeste Amour - White Gold 14kt,1,0,visible,,Metal: White Gold 14kt | Gold Weight: 1.5324456g | Diamond Weight: 0.52 carats,,,taxable,,1,10,2,0,0,1.53,,,,0,,,47080.0,,,,"https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-W1.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-W2.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-W3.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-W4.jpg",,,PARENT-39-15051,,,,,,0,Metal Type,White Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,Style Number: nan | Gold Weight: 1.5324456g | Gold Purity: 18kt | Diamond Weight: 0.52 ct | Diamond Shapes: nan | Diamond Quality: nan
variation,15051-Wh-221,Celeste Amour - White Gold 14kt,1,0,visible,,Metal: White Gold 14kt | Gold Weight: 1.5324456g | Diamond Weight: 0.52 carats,,,taxable,,1,10,2,0,0,1.53,,,,0,,,53656.0,,,,"https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-W1.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-W2.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-W3.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-W4.jpg",,,PARENT-39-15051,,,,,,0,Metal Type,White Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,Style Number: nan | Gold Weight: 1.5324456g | Gold Purity: 18kt | Diamond Weight: 0.52 ct | Diamond Shapes: nan | Diamond Quality: nan
variation,15051-Wh-222,Celeste Amour - White Gold 14kt,1,0,visible,,Metal: White Gold 14kt | Gold Weight: 1.5324456g | Diamond Weight: 0.52 carats,,,taxable,,1,10,2,0,0,1.53,,,,0,,,58636.0,,,,"https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-W1.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-W2.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-W3.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-W4.jpg",,,PARENT-39-15051,,,,,,0,Metal Type,White Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,Style Number: nan | Gold Weight: 1.5324456g | Gold Purity: 18kt | Diamond Weight: 0.52 ct | Diamond Shapes: nan | Diamond Quality: nan
variation,15051-Ye-223,Celeste Amour - Yellow Gold 14kt,1,0,visible,,Metal: Yellow Gold 14kt | Gold Weight: 1.5324456g | Diamond Weight: 0.52 carats,,,taxable,,1,10,2,0,0,1.53,,,,0,,,20499.0,,,,"https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-Y1.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-Y2.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-Y3.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-Y4.jpg",,,PARENT-39-15051,,,,,,0,Metal Type,Yellow Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,Style Number: nan | Gold Weight: 1.5324456g | Gold Purity: 18kt | Diamond Weight: 0.52 ct | Diamond Shapes: nan | Diamond Quality: nan
variation,15051-Ye-224,Celeste Amour - Yellow Gold 14kt,1,0,visible,,Metal: Yellow Gold 14kt | Gold Weight: 1.5324456g | Diamond Weight: 0.52 carats,,,taxable,,1,10,2,0,0,1.53,,,,0,,,22794.0,,,,"https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-Y1.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-Y2.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-Y3.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-Y4.jpg",,,PARENT-39-15051,,,,,,0,Metal Type,Yellow Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,Style Number: nan | Gold Weight: 1.5324456g | Gold Purity: 18kt | Diamond Weight: 0.52 ct | Diamond Shapes: nan | Diamond Quality: nan
variation,15051-Ye-225,Celeste Amour - Yellow Gold 14kt,1,0,visible,,Metal: Yellow Gold 14kt | Gold Weight: 1.5324456g | Diamond Weight: 0.52 carats,,,taxable,,1,10,2,0,0,1.53,,,,0,,,31715.0,,,,"https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-Y1.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-Y2.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-Y3.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-Y4.jpg",,,PARENT-39-15051,,,,,,0,Metal Type,Yellow Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,Style Number: nan | Gold Weight: 1.5324456g | Gold Purity: 18kt | Diamond Weight: 0.52 ct | Diamond Shapes: nan | Diamond Quality: nan
variation,15051-Ye-226,Celeste Amour - Yellow Gold 14kt,1,0,visible,,Metal: Yellow Gold 14kt | Gold Weight: 1.5324456g | Diamond Weight: 0.52 carats,,,taxable,,1,10,2,0,0,1.53,,,,0,,,34790.0,,,,"https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-Y1.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-Y2.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-Y3.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-Y4.jpg",,,PARENT-39-15051,,,,,,0,Metal Type,Yellow Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,Style Number: nan | Gold Weight: 1.5324456g | Gold Purity: 18kt | Diamond Weight: 0.52 ct | Diamond Shapes: nan | Diamond Quality: nan
variation,15051-Ye-227,Celeste Amour - Yellow Gold 14kt,1,0,visible,,Metal: Yellow Gold 14kt | Gold Weight: 1.5324456g | Diamond Weight: 0.52 carats,,,taxable,,1,10,2,0,0,1.53,,,,0,,,43180.0,,,,"https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-Y1.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-Y2.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-Y3.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-Y4.jpg",,,PARENT-39-15051,,,,,,0,Metal Type,Yellow Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,Style Number: nan | Gold Weight: 1.5324456g | Gold Purity: 18kt | Diamond Weight: 0.52 ct | Diamond Shapes: nan | Diamond Quality: nan
variation,15051-Ye-228,Celeste Amour - Yellow Gold 14kt,1,0,visible,,Metal: Yellow Gold 14kt | Gold Weight: 1.5324456g | Diamond Weight: 0.52 carats,,,taxable,,1,10,2,0,0,1.53,,,,0,,,47080.0,,,,"https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-Y1.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-Y2.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-Y3.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-Y4.jpg",,,PARENT-39-15051,,,,,,0,Metal Type,Yellow Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,Style Number: nan | Gold Weight: 1.5324456g | Gold Purity: 18kt | Diamond Weight: 0.52 ct | Diamond Shapes: nan | Diamond Quality: nan
variation,15051-Ye-229,Celeste Amour - Yellow Gold 14kt,1,0,visible,,Metal: Yellow Gold 14kt | Gold Weight: 1.5324456g | Diamond Weight: 0.52 carats,,,taxable,,1,10,2,0,0,1.53,,,,0,,,53656.0,,,,"https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-Y1.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-Y2.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-Y3.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-Y4.jpg",,,PARENT-39-15051,,,,,,0,Metal Type,Yellow Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,Style Number: nan | Gold Weight: 1.5324456g | Gold Purity: 18kt | Diamond Weight: 0.52 ct | Diamond Shapes: nan | Diamond Quality: nan
variation,15051-Ye-230,Celeste Amour - Yellow Gold 14kt,1,0,visible,,Metal: Yellow Gold 14kt | Gold Weight: 1.5324456g | Diamond Weight: 0.52 carats,,,taxable,,1,10,2,0,0,1.53,,,,0,,,58636.0,,,,"https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-Y1.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-Y2.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-Y3.jpg, https://rareregalia.com/wp-content/uploads/2025/07/DOC-PD-15051-Y4.jpg",,,PARENT-39-15051,,,,,,0,Metal Type,Yellow Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,Style Number: nan | Gold Weight: 1.5324456g | Gold Purity: 18kt | Diamond Weight: 0.52 ct | Diamond Shapes: nan | Diamond Quality: nan
